"","STRUCTURE_NUMBER_008","YEAR_BUILT_027","COUNTY_CODE_003","DECK_COND_058","SUPERSTRUCTURE_COND_059","SUBSTRUCTURE_COND_060"
"1","00000000000F303",1932,51,"4","5","5"
"2","00000000000F310",1948,115,"4","4","7"
"3","00000000000F311",1979,115,"6","7","8"
"4","00000000000F315",1977,3,"5","5","7"
"5","00000000000F317",1980,3,"7","8","7"
"6","00000000000F318",1980,3,"7","8","7"
"7","00000000000F321",1884,115,"6","8","8"
"8","00000000000F323",1999,3,"7","7","6"
"9","00000000000F324",2006,3,"7","7","7"
"10","00000000000F325",1996,3,"7","7","7"
"11","00000000000F326",1996,51,"7","7","7"
"12","00000000000F328",1981,3,"7","7","7"
"13","00000000000F329",2000,7,"7","7","8"
"14","00000000000F330",2003,115,"7","7","8"
"15","00000000000F331",2004,51,"7","7","8"
"16","00000000000F905",1977,78,"6","6","5"
"17","00000000000F906",1977,78,"7","7","6"
"18","00000000000F916",1985,78,"7","7","7"
"19","00000000000F917",1981,78,"5","6","4"
"20","00000000000F918",1988,78,"N","N","N"
"21","00000000000F919",1996,78,"7","8","8"
"22","00000000000F925",2005,78,"7","7","6"
"23","00000000000F926",2005,78,"7","7","8"
"24","00000000000F927",2005,78,"7","7","8"
"25","00000000000F928",2006,78,"6","8","8"
"26","00000000000F929",1960,78,"7","7","6"
"27","00000000000F930",2005,78,"7","7","7"
"28","00000000000F932",2007,78,"N","7","8"
"29","00000000000F933",2008,78,"7","7","8"
"30","00000000000F934",2007,78,"7","7","8"
"31","000032530-00062",1951,57,"6","6","6"
"32","000032530-00075",1993,57,"7","8","7"
"33","000032530-00079",1976,57,"8","6","6"
"34","000032530-00080",1976,57,"8","7","5"
"35","000032530-00081",1977,57,"6","7","6"
"36","000032530-00123",1993,57,"7","7","7"
"37","000032578-00043",1994,121,"7","7","7"
"38","01000003316    ",2003,37,"7","7","7"
"39","090201000001000",1982,99,"6","7","6"
"40","090201000001001",1997,99,"8","8","8"
"41","090201000001004",1991,99,"7","7","8"
"42","090201000001005",1973,99,"7","7","7"
"43","090201000001006",1975,99,"7","7","6"
"44","090201000001094",1961,99,"N","N","N"
"45","090202000001007",1953,3,"6","7","6"
"46","090202000001011",1951,3,"5","5","5"
"47","090202000001012",1953,3,"5","7","5"
"48","090202000001017",1951,3,"7","7","7"
"49","090202000001018",1988,3,"6","6","5"
"50","090202000001019",1954,3,"7","7","7"
"51","090202000001021",1975,3,"7","8","7"
"52","090202000001024",1956,3,"6","6","6"
"53","090202000001025",2001,3,"8","8","8"
"54","090202000001027",1952,3,"7","7","6"
"55","090203000001028",1985,119,"7","8","7"
"56","090203000001029",1980,119,"6","7","5"
"57","090203000001030",1990,119,"7","7","6"
"58","090203000001032",1969,119,"6","6","7"
"59","090203000001033",1999,119,"7","8","7"
"60","090203000001035",1953,119,"6","7","7"
"61","090203000001036",1955,119,"7","7","7"
"62","090203000001054",1998,119,"N","N","N"
"63","090204000001009",1985,113,"7","7","6"
"64","090204000001013",1952,113,"5","7","7"
"65","090204000001014",1996,113,"7","7","6"
"66","090204000001015",1993,7,"7","8","7"
"67","090204000001016",1937,113,"7","6","4"
"68","090204000001020",1959,7,"7","7","7"
"69","090204000001022",1950,7,"6","6","6"
"70","090204000001023",1952,113,"7","7","7"
"71","090204000001026",1997,113,"7","8","8"
"72","090204000001042",1953,113,"7","6","6"
"73","090602000001000",1980,41,"7","6","7"
"74","090602000001001",1949,41,"7","7","4"
"75","090602000001002",1984,41,"6","7","7"
"76","090602000001012",1982,41,"7","7","7"
"77","090602000001015",1980,37,"6","5","7"
"78","090602000001016",1982,41,"7","7","6"
"79","090602000001020",1958,37,"7","5","6"
"80","090602000001021",1963,41,"6","5","5"
"81","090603000001004",1949,37,"6","7","6"
"82","090604000001005",1982,83,"7","7","7"
"83","090604000001006",1957,83,"7","7","6"
"84","090604000001017",1968,83,"7","6","7"
"85","090604000001047",1960,83,"N","N","N"
"86","090605000001007",1977,41,"6","7","4"
"87","090605000001009",1952,41,"7","7","5"
"88","090605000001010",1949,41,"6","6","5"
"89","090605000001011",1975,41,"6","6","5"
"90","090605000001013",1980,41,"7","6","7"
"91","090605000001014",1951,41,"6","6","6"
"92","090605000001018",1968,41,"5","7","6"
"93","090605000001023",2006,41,"N","N","N"
"94","091301000001037",1961,99,"N","N","N"
"95","091301000003081",2001,99,"7","7","7"
"96","091302000003070",2002,3,"7","8","7"
"97","091302000010814",2006,113,"8","8","8"
"98","091303000013222",2009,41,"7","7","7"
"99","B01000200000000",1975,1,"8","8","8"
"100","B01000300000000",1981,1,"7","8","7"
"101","B01000400000000",1984,1,"8","8","7"
"102","B01000500000000",1984,1,"7","7","8"
"103","B01000600000000",1984,1,"8","8","8"
"104","B01000700000000",1986,1,"7","7","8"
"105","B01000800000000",1986,1,"7","7","8"
"106","B01000900000000",1988,1,"8","8","8"
"107","B01001000000000",1990,1,"7","7","8"
"108","B01001200000000",1988,1,"7","7","7"
"109","B01001300000000",1959,1,"7","7","6"
"110","B01001400000000",1989,1,"7","7","8"
"111","B01001500000000",1991,1,"7","7","7"
"112","B01001600000000",1989,1,"7","7","7"
"113","B01001700000000",1993,1,"6","7","7"
"114","B01001800000000",1991,1,"8","8","6"
"115","B01001900000000",1997,1,"7","7","7"
"116","B01002000000000",1997,1,"7","8","8"
"117","B01002100000000",1999,1,"8","9","9"
"118","B01002200000000",2001,1,"7","7","8"
"119","B01002300000000",2003,1,"8","8","8"
"120","B01002500000000",2005,1,"8","8","8"
"121","B01002800000000",2006,1,"7","7","8"
"122","B01002900000000",2006,1,"7","7","8"
"123","B01003000000000",2009,1,"7","8","8"
"124","B01003100000000",2013,1,"9","9","9"
"125","B01003200000000",2010,1,"8","8","8"
"126","B01003300000000",2012,1,"8","8","8"
"127","B01003600000000",1937,1,"7","7","6"
"128","B01032500000000",1950,1,"6","7","6"
"129","B01053700000000",1957,1,"N","N","N"
"130","B02000400000000",1955,3,"5","6","7"
"131","B02000500000000",1960,3,"6","7","7"
"132","B02000600000000",1961,3,"6","7","7"
"133","B02000700000000",1948,3,"6","7","7"
"134","B02000800000000",1949,3,"8","8","7"
"135","B02000900000000",1964,3,"5","7","7"
"136","B02001000000000",1956,3,"6","8","7"
"137","B02001100000000",1969,3,"N","N","N"
"138","B02001200000000",1971,3,"7","7","7"
"139","B02001300000000",1971,3,"7","7","7"
"140","B02001400000000",1976,3,"5","8","7"
"141","B02001500000000",1975,3,"5","7","7"
"142","B02001600000000",1976,3,"7","8","8"
"143","B02001700000000",1976,3,"7","7","6"
"144","B02001800000000",1976,3,"7","8","7"
"145","B02001900000000",1977,3,"7","6","8"
"146","B02002000000000",1978,3,"7","8","8"
"147","B02002200000000",1980,3,"N","N","N"
"148","B02002300000000",1982,3,"7","8","7"
"149","B02002500000000",1985,3,"5","7","8"
"150","B02002600000000",1987,3,"5","6","7"
"151","B02002700000000",1986,3,"7","7","7"
"152","B02002800000000",1988,3,"7","8","8"
"153","B02002900000000",1988,3,"7","7","7"
"154","B02003000000000",1988,3,"7","7","7"
"155","B02003100000000",1970,3,"7","7","3"
